"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"Backup disabled",,"noun","preferred",,,,"Sauvegarde désactivée",,"noun","preferred",,,,"Sicherung deaktiviert",,"noun","preferred",,,,"Backup desabilitado",,"noun","preferred",,,,"Backup deshabilitado",,"noun","preferred",,,,"Yes"
"Backup downloaded",,"noun","preferred",,,,"Sauvegarde téléchargée",,"noun","preferred",,,,"Sicherung heruntergeladen",,"noun","preferred",,,,"Backup baixado",,"noun","preferred",,,,"Backup descargado",,"noun","preferred",,,,"Yes"
"Backup duration",,"noun","preferred",,,,"Durée de la sauvegarde",,"noun","preferred",,,,"Sicherungsdauer",,"noun","preferred",,,,"Duração do backup",,"noun","preferred",,,,"Duración del backup",,"noun","preferred",,,,"Yes"
"Backup enabled",,"noun","preferred",,,,"Sauvegarde activée",,"noun","preferred",,,,"Sicherung aktiviert",,"noun","preferred",,,,"Backup habilitado",,"noun","preferred",,,,"Backup habilitado",,"noun","preferred",,,,"Yes"
"Backup failed",,"noun","preferred",,,,"Sauvegarde échouée",,"noun","preferred",,,,"Sicherung fehlgeschlagen",,"noun","preferred",,,,"Backup falhou",,"noun","preferred",,,,"Backup fallido",,"noun","preferred",,,,"Yes"
"Backup Format",,"noun","preferred",,,,"Format de sauvegarde",,"noun","preferred",,,,"Sicherungsformat",,"noun","preferred",,,,"Formato de backup",,"noun","preferred",,,,"Formato de backup",,"noun","preferred",,,,"Yes"
"Backup History",,"noun","preferred",,,,"Historique des sauvegardes",,"noun","preferred",,,,"Sicherungsverlauf",,"noun","preferred",,,,"Histórico de backups",,"noun","preferred",,,,"Historial de backups",,"noun","preferred",,,,"Yes"
"Backup ID",,"noun","preferred",,,,"ID de sauvegarde",,"noun","preferred",,,,"Sicherungs-ID",,"noun","preferred",,,,"ID do backup",,"noun","preferred",,,,"ID de backup",,"noun","preferred",,,,"Yes"
"Backup Information",,"noun","preferred",,,,"Informations de sauvegarde",,"noun","preferred",,,,"Sicherungsinformationen",,"noun","preferred",,,,"Informações do backup",,"noun","preferred",,,,"Información del backup",,"noun","preferred",,,,"Yes"
"Backup Name",,"noun","preferred",,,,"Nom de sauvegarde",,"noun","preferred",,,,"Sicherungsname",,"noun","preferred",,,,"Nome do backup",,"noun","preferred",,,,"Nombre de backup",,"noun","preferred",,,,"Yes"
"Backup Notifications",,"noun","preferred",,,,"Notifications de sauvegarde",,"noun","preferred",,,,"Backup-Benachrichtigungen",,"noun","preferred",,,,"Notificações de backup",,"noun","preferred",,,,"Notificaciones de backup",,"noun","preferred",,,,"Yes"
"Backup Overdue",,"noun","preferred",,,,"Sauvegarde en retard",,"noun","preferred",,,,"Sicherung überfällig",,"noun","preferred",,,,"Backup atrasado",,"noun","preferred",,,,"Backup retrasado",,"noun","preferred",,,,"Yes"
"Backup Path",,"noun","preferred",,,,"Chemin de sauvegarde",,"noun","preferred",,,,"Sicherungspfad",,"noun","preferred",,,,"Caminho do backup",,"noun","preferred",,,,"Ruta de backup",,"noun","preferred",,,,"Yes"
"Backup paused",,"noun","preferred",,,,"Sauvegarde en pause",,"noun","preferred",,,,"Sicherung pausiert",,"noun","preferred",,,,"Backup pausado",,"noun","preferred",,,,"Backup pausado",,"noun","preferred",,,,"Yes"
"Backup restored",,"noun","preferred",,,,"Sauvegarde restaurée",,"noun","preferred",,,,"Sicherung wiederhergestellt",,"noun","preferred",,,,"Backup restaurado",,"noun","preferred",,,,"Backup restaurado",,"noun","preferred",,,,"Yes"
"Backup resumed",,"noun","preferred",,,,"Sauvegarde reprise",,"noun","preferred",,,,"Sicherung fortgesetzt",,"noun","preferred",,,,"Backup retomado",,"noun","preferred",,,,"Backup reanudado",,"noun","preferred",,,,"Yes"
"Backup retention policy updated",,"noun","preferred",,,,"Politique de rétention des sauvegardes mise à jour",,"noun","preferred",,,,"Sicherungsaufbewahrungsrichtlinie aktualisiert",,"noun","preferred",,,,"Política de retenção de backup atualizada",,"noun","preferred",,,,"Política de retención de backups actualizada",,"noun","preferred",,,,"Yes"
"Backup retry initiated",,"noun","preferred",,,,"Nouvelle tentative de sauvegarde",,"noun","preferred",,,,"Sicherungswiederholung eingeleitet",,"noun","preferred",,,,"Nova tentativa de backup iniciada",,"noun","preferred",,,,"Reintento de backup iniciado",,"noun","preferred",,,,"Yes"
"Backup retry started",,"noun","preferred",,,,"Nouvelle tentative de sauvegarde",,"noun","preferred",,,,"Sicherungswiederholung gestartet",,"noun","preferred",,,,"Nova tentativa de backup iniciada",,"noun","preferred",,,,"Reintento de backup iniciado",,"noun","preferred",,,,"Yes"
"Backup schedule in cron format",,"noun","preferred",,,,"Planification de sauvegarde au format cron",,"noun","preferred",,,,"Sicherungszeitplan im Cron-Format",,"noun","preferred",,,,"Agendamento de backup em formato cron",,"noun","preferred",,,,"Programación de backup en formato cron",,"noun","preferred",,,,"Yes"
"Backup scheduled",,"noun","preferred",,,,"Sauvegarde planifiée",,"noun","preferred",,,,"Sicherung geplant",,"noun","preferred",,,,"Backup agendado",,"noun","preferred",,,,"Backup programado",,"noun","preferred",,,,"Yes"
"backup selected",,"noun","preferred",,,,"sauvegarde sélectionnée",,"noun","preferred",,,,"Sicherung ausgewählt",,"noun","preferred",,,,"backup selecionado",,"noun","preferred",,,,"backup seleccionado",,"noun","preferred",,,,"Yes"
"Backup settings updated",,"noun","preferred",,,,"Paramètres de sauvegarde mis à jour",,"noun","preferred",,,,"Sicherungseinstellungen aktualisiert",,"noun","preferred",,,,"Configurações de backup atualizadas",,"noun","preferred",,,,"Configuración de backup actualizada",,"noun","preferred",,,,"Yes"
"Backup Size",,"noun","preferred",,,,"Taille de sauvegarde",,"noun","preferred",,,,"Sicherungsgröße",,"noun","preferred",,,,"Tamanho do Backup",,"noun","preferred",,,,"Tamaño del backup",,"noun","preferred",,,,"Yes"
"Backup started",,"noun","preferred",,,,"Sauvegarde démarrée",,"noun","preferred",,,,"Sicherung gestartet",,"noun","preferred",,,,"Backup iniciado",,"noun","preferred",,,,"Backup iniciado",,"noun","preferred",,,,"Yes"
"Backup started successfully",,"noun","preferred",,,,"Sauvegarde démarrée avec succès",,"noun","preferred",,,,"Sicherung erfolgreich gestartet",,"noun","preferred",,,,"Backup iniciado com sucesso",,"noun","preferred",,,,"Backup iniciado exitosamente",,"noun","preferred",,,,"Yes"
"Backup Statistics",,"noun","preferred",,,,"Statistiques de sauvegarde",,"noun","preferred",,,,"Sicherungsstatistiken",,"noun","preferred",,,,"Estatísticas do backup",,"noun","preferred",,,,"Estadísticas del backup",,"noun","preferred",,,,"Yes"
"Backup status (Success, Failed, etc.)",,"noun","preferred",,,,"Statut de la sauvegarde (Succès, Échoué, etc.)",,"noun","preferred",,,,"Sicherungsstatus (Erfolg, Fehlgeschlagen, etc.)",,"noun","preferred",,,,"Status do backup (Sucesso, Falha, etc.)",,"noun","preferred",,,,"Estado del backup (Éxito, Fallido, etc.)",,"noun","preferred",,,,"Yes"
"Backup Success",,"noun","preferred",,,,"Sauvegarde réussie",,"noun","preferred",,,,"Sicherung erfolgreich",,"noun","preferred",,,,"Backup bem-sucedido",,"noun","preferred",,,,"Backup exitoso",,"noun","preferred",,,,"Yes"
"Backup Time",,"noun","preferred",,,,"Heure de sauvegarde",,"noun","preferred",,,,"Sicherungszeit",,"noun","preferred",,,,"Horário do Backup",,"noun","preferred",,,,"Hora del backup",,"noun","preferred",,,,"Yes"
"Backup unscheduled",,"noun","preferred",,,,"Sauvegarde non planifiée",,"noun","preferred",,,,"Sicherung nicht geplant",,"noun","preferred",,,,"Backup não agendado",,"noun","preferred",,,,"Backup no programado",,"noun","preferred",,,,"Yes"
"Backup uploaded",,"noun","preferred",,,,"Sauvegarde téléversée",,"noun","preferred",,,,"Sicherung hochgeladen",,"noun","preferred",,,,"Backup enviado",,"noun","preferred",,,,"Backup enviado",,"noun","preferred",,,,"Yes"
"Backup verified",,"noun","preferred",,,,"Sauvegarde vérifiée",,"noun","preferred",,,,"Sicherung überprüft",,"noun","preferred",,,,"Backup verificado",,"noun","preferred",,,,"Backup verificado",,"noun","preferred",,,,"Yes"
"Backups",,"noun","preferred",,,,"Sauvegardes",,"noun","preferred",,,,"Sicherungen",,"noun","preferred",,,,"Backups",,"noun","preferred",,,,"Backups",,"noun","preferred",,,,"Yes"
"backups selected",,"noun","preferred",,,,"sauvegardes sélectionnées",,"noun","preferred",,,,"Sicherungen ausgewählt",,"noun","preferred",,,,"backups selecionados",,"noun","preferred",,,,"backups seleccionados",,"noun","preferred",,,,"Yes"
"Bad gateway - Service unavailable",,"noun","preferred",,,,"Mauvaise passerelle - Service indisponible",,"noun","preferred",,,,"Falsches Gateway - Dienst nicht verfügbar",,"noun","preferred",,,,"Gateway inválido - Serviço indisponível",,"noun","preferred",,,,"Puerta de enlace incorrecta - Servicio no disponible",,"noun","preferred",,,,"Yes"
"Bulk Clear",,"noun","preferred",,,,"Effacement en masse",,"noun","preferred",,,,"Massenlöschung",,"noun","preferred",,,,"Limpar em massa",,"noun","preferred",,,,"Limpiar en masa",,"noun","preferred",,,,"Yes"
"Bulk Edit",,"noun","preferred",,,,"Modification en masse",,"noun","preferred",,,,"Massenbearbeitung",,"noun","preferred",,,,"Edição em massa",,"noun","preferred",,,,"Edición masiva",,"noun","preferred",,,,"Yes"
"Cancel",,"verb","preferred",,,,"Annuler",,"verb","preferred",,,,"Abbrechen",,"verb","preferred",,,,"Cancelar",,"verb","preferred",,,,"Cancelar",,"verb","preferred",,,,"Yes"
"Cancel Edit",,"noun","preferred",,,,"Annuler la modification",,"noun","preferred",,,,"Bearbeitung abbrechen",,"noun","preferred",,,,"Cancelar edição",,"noun","preferred",,,,"Cancelar edición",,"noun","preferred",,,,"Yes"
"Cancelled",,"noun","preferred",,,,"Annulé",,"noun","preferred",,,,"Abgebrochen",,"noun","preferred",,,,"Cancelado",,"noun","preferred",,,,"Cancelado",,"noun","preferred",,,,"Yes"
"Cannot be blank",,"noun","preferred",,,,"Ne peut pas être vide",,"noun","preferred",,,,"Darf nicht leer sein",,"noun","preferred",,,,"Não pode estar em branco",,"noun","preferred",,,,"No puede estar en blanco",,"noun","preferred",,,,"Yes"
"Cannot be empty",,"noun","preferred",,,,"Ne peut pas être vide",,"noun","preferred",,,,"Darf nicht leer sein",,"noun","preferred",,,,"Não pode estar vazio",,"noun","preferred",,,,"No puede estar vacío",,"noun","preferred",,,,"Yes"
"Cannot be null",,"noun","preferred",,,,"Ne peut pas être nul",,"noun","preferred",,,,"Darf nicht null sein",,"noun","preferred",,,,"Não pode ser nulo",,"noun","preferred",,,,"No puede ser nulo",,"noun","preferred",,,,"Yes"
"Cannot be undefined",,"noun","preferred",,,,"Ne peut pas être indéfini",,"noun","preferred",,,,"Darf nicht undefiniert sein",,"noun","preferred",,,,"Não pode ser indefinido",,"noun","preferred",,,,"No puede ser indefinido",,"noun","preferred",,,,"Yes"
"Cannot delete the last admin account",,"noun","preferred",,,,"Impossible de supprimer le dernier compte administrateur",,"noun","preferred",,,,"Das letzte Administratorkonto kann nicht gelöscht werden",,"noun","preferred",,,,"Não é possível excluir a última conta de administrador",,"noun","preferred",,,,"No se puede eliminar la última cuenta de administrador",,"noun","preferred",,,,"Yes"
"Cards Sort Order",,"noun","preferred",,,,"Ordre de tri des cartes",,"noun","preferred",,,,"Kartensortierung",,"noun","preferred",,,,"Ordem de classificação dos cartões",,"noun","preferred",,,,"Orden de clasificación de tarjetas",,"noun","preferred",,,,"Yes"
"Category",,"noun","preferred",,,,"Catégorie",,"noun","preferred",,,,"Kategorie",,"noun","preferred",,,,"Categoria",,"noun","preferred",,,,"Categoría",,"noun","preferred",,,,"Yes"
"Certificate Expired",,"noun","preferred",,,,"Certificat expiré",,"noun","preferred",,,,"Zertifikat abgelaufen",,"noun","preferred",,,,"Certificado Expirado",,"noun","preferred",,,,"Certificado expirado",,"noun","preferred",,,,"Yes"
"Certificate Expired Alert",,"noun","preferred",,,,"Alerte certificat expiré",,"noun","preferred",,,,"Zertifikatsablauf-Warnung",,"noun","preferred",,,,"Alerta de Certificado Expirado",,"noun","preferred",,,,"Alerta de certificado expirado",,"noun","preferred",,,,"Yes"
"Certificate Name",,"noun","preferred",,,,"Nom du certificat",,"noun","preferred",,,,"Zertifikatsname",,"noun","preferred",,,,"Nome do Certificado",,"noun","preferred",,,,"Nombre del certificado",,"noun","preferred",,,,"Yes"
"Change Email Password",,"noun","preferred",,,,"Changer le mot de passe e-mail",,"noun","preferred",,,,"E-Mail-Passwort ändern",,"noun","preferred",,,,"Alterar senha de e-mail",,"noun","preferred",,,,"Cambiar contraseña de correo electrónico",,"noun","preferred",,,,"Yes"
"Change Password",,"noun","preferred",,,,"Changer le mot de passe",,"noun","preferred",,,,"Passwort ändern",,"noun","preferred",,,,"Alterar senha",,"noun","preferred",,,,"Cambiar contraseña",,"noun","preferred",,,,"Yes"
"Change Password to Access Duplicati Server",,"noun","preferred",,,,"Changer le mot de passe pour accéder au serveur Duplicati",,"noun","preferred",,,,"Passwort ändern, um auf Duplicati-Server zuzugreifen",,"noun","preferred",,,,"Alterar senha para acessar o servidor Duplicati",,"noun","preferred",,,,"Cambiar contraseña para acceder al servidor Duplicati",,"noun","preferred",,,,"Yes"
"Chart Time Range",,"noun","preferred",,,,"Plage temporelle du graphique",,"noun","preferred",,,,"Diagramm-Zeitbereich",,"noun","preferred",,,,"Intervalo de tempo do gráfico",,"noun","preferred",,,,"Rango de tiempo del gráfico",,"noun","preferred",,,,"Yes"
"Check",,"noun","preferred",,,,"Vérifier",,"noun","preferred",,,,"Prüfen",,"noun","preferred",,,,"Verificar",,"noun","preferred",,,,"Verificar",,"noun","preferred",,,,"Yes"
"Check now",,"noun","preferred",,,,"Vérifier maintenant",,"noun","preferred",,,,"Jetzt prüfen",,"noun","preferred",,,,"Verificar agora",,"noun","preferred",,,,"Verificar ahora",,"noun","preferred",,,,"Yes"
"Checked",,"noun","preferred",,,,"Vérifié",,"noun","preferred",,,,"Geprüft",,"noun","preferred",,,,"Verificado",,"noun","preferred",,,,"Verificado",,"noun","preferred",,,,"Yes"
"Choose a password",,"noun","preferred",,,,"Choisissez un mot de passe",,"noun","preferred",,,,"Wählen Sie ein Passwort",,"noun","preferred",,,,"Escolha uma senha",,"noun","preferred",,,,"Elija una contraseña",,"noun","preferred",,,,"Yes"
"Choose a server or enter manually below",,"noun","preferred",,,,"Choisissez un serveur ou saisissez manuellement ci-dessous",,"noun","preferred",,,,"Wählen Sie einen Server aus oder geben Sie manuell unten ein",,"noun","preferred",,,,"Escolha um servidor ou insira manualmente abaixo",,"noun","preferred",,,,"Elija un servidor o ingrese manualmente a continuación",,"noun","preferred",,,,"Yes"
"Choose a username",,"noun","preferred",,,,"Choisissez un nom d'utilisateur",,"noun","preferred",,,,"Wählen Sie einen Benutzernamen",,"noun","preferred",,,,"Escolha um nome de usuário",,"noun","preferred",,,,"Elija un nombre de usuario",,"noun","preferred",,,,"Yes"
"Choose between 12-hour and 24-hour format",,"noun","preferred",,,,"Choisissez entre le format 12 heures et 24 heures",,"noun","preferred",,,,"Wählen Sie zwischen 12-Stunden- und 24-Stunden-Format",,"noun","preferred",,,,"Escolha entre formato de 12 horas e 24 horas",,"noun","preferred",,,,"Elija entre formato de 12 horas y 24 horas",,"noun","preferred",,,,"Yes"
"Choose file",,"noun","preferred",,,,"Choisir un fichier",,"noun","preferred",,,,"Datei auswählen",,"noun","preferred",,,,"Escolher arquivo",,"noun","preferred",,,,"Elegir archivo",,"noun","preferred",,,,"Yes"
"Choose how dates are displayed",,"noun","preferred",,,,"Choisissez comment les dates sont affichées",,"noun","preferred",,,,"Wählen Sie, wie Datumsangaben angezeigt werden",,"noun","preferred",,,,"Escolha como as datas são exibidas",,"noun","preferred",,,,"Elija cómo se muestran las fechas",,"noun","preferred",,,,"Yes"
"Choose the visual theme for the application",,"noun","preferred",,,,"Choisissez le thème visuel pour l'application",,"noun","preferred",,,,"Wählen Sie das visuelle Theme für die Anwendung",,"noun","preferred",,,,"Escolha o tema visual para o aplicativo",,"noun","preferred",,,,"Elija el tema visual para la aplicación",,"noun","preferred",,,,"Yes"
"Choose which events trigger notifications",,"noun","preferred",,,,"Choisissez les événements qui déclenchent des notifications",,"noun","preferred",,,,"Wählen Sie, welche Ereignisse Benachrichtigungen auslösen",,"noun","preferred",,,,"Escolha quais eventos acionam notificações",,"noun","preferred",,,,"Elija qué eventos desencadenan notificaciones",,"noun","preferred",,,,"Yes"
"Clear",,"verb","preferred",,,,"Effacer",,"verb","preferred",,,,"Löschen",,"verb","preferred",,,,"Limpar",,"verb","preferred",,,,"Limpiar",,"verb","preferred",,,,"Yes"
"Clear Old Records",,"noun","preferred",,,,"Effacer les anciens enregistrements",,"noun","preferred",,,,"Alte Datensätze löschen",,"noun","preferred",,,,"Limpar logs antigos",,"noun","preferred",,,,"Limpiar logs antiguos",,"noun","preferred",,,,"Yes"
"Clear search",,"noun","preferred",,,,"Effacer la recherche",,"noun","preferred",,,,"Suche löschen",,"noun","preferred",,,,"Limpar pesquisa",,"noun","preferred",,,,"Limpiar búsqueda",,"noun","preferred",,,,"Yes"
"Clear Selection",,"noun","preferred",,,,"Effacer la sélection",,"noun","preferred",,,,"Auswahl löschen",,"noun","preferred",,,,"Limpar seleção",,"noun","preferred",,,,"Limpiar selección",,"noun","preferred",,,,"Yes"
"Cleared successfully",,"noun","preferred",,,,"Effacé avec succès",,"noun","preferred",,,,"Erfolgreich gelöscht",,"noun","preferred",,,,"Limpo com sucesso",,"noun","preferred",,,,"Limpiado exitosamente",,"noun","preferred",,,,"Yes"
"Click to change password",,"noun","preferred",,,,"Cliquez pour changer le mot de passe",,"noun","preferred",,,,"Klicken Sie, um das Passwort zu ändern",,"noun","preferred",,,,"Clique para alterar a senha",,"noun","preferred",,,,"Haga clic para cambiar la contraseña",,"noun","preferred",,,,"Yes"
