"en","fr","de","pt-BR","es"
"Show QR code","Afficher le code QR","QR-Code anzeigen","Mostrar código QR","Mostrar código QR"
"Show Successful","Afficher les réussis","Erfolgreiche anzeigen","Mostrar bem-sucedidos","Mostrar exitosos"
"Showing all messages ()","Affichage de tous les messages ()","Alle Nachrichten anzeigen ()","Mostrando todas as mensagens ()","Mostrando todos los mensajes ()"
"Sign in to your account","Connectez-vous à votre compte","Melden Sie sich bei Ihrem Konto an","Entre na sua conta","Inicie sesión en su cuenta"
"Size","Taille","Größe","Tamanho","Tamaño"
"Size of uploaded data","Taille des données téléversées","Größe der hochgeladenen Daten","Tamanho dos dados enviados","Tamaño de datos enviados"
"Skip","Ignorer","Überspringen","Pular","Omitir"
"Skipped:  duplicates","Ignorés:  doublons","Übersprungen:  Duplikate","Ignorados:  duplicados","Omitidos:  duplicados"
"SMTP email passwords (in Email Settings)","Mots de passe SMTP (dans les paramètres de messagerie)","SMTP-E-Mail-Passwörter (in E-Mail-Einstellungen)","Senhas de e-mail SMTP (em Configurações de e-mail)","Contraseñas de correo SMTP (en Configuración de correo)"
"SMTP Encryption","Chiffrement SMTP","SMTP-Verschlüsselung","Criptografia SMTP","Cifrado SMTP"
"SMTP Host","Hôte SMTP","SMTP-Host","Host SMTP","Host SMTP"
"SMTP Password","Mot de passe SMTP","SMTP-Passwort","Senha SMTP","Contraseña SMTP"
"SMTP Port","Port SMTP","SMTP-Port","Porta SMTP","Puerto SMTP"
"SMTP Server Hostname","Nom d'hôte du serveur SMTP","SMTP-Server-Hostname","Nome do host do servidor SMTP","Nombre de host del servidor SMTP"
"SMTP Server Password","Mot de passe du serveur SMTP","SMTP-Server-Passwort","Senha do servidor SMTP","Contraseña del servidor SMTP"
"SMTP Server Port","Port du serveur SMTP","SMTP-Server-Port","Porta do servidor SMTP","Puerto del servidor SMTP"
"SMTP Server requires authentication","Le serveur SMTP nécessite une authentification","SMTP-Server erfordert Authentifizierung","O servidor SMTP requer autenticação","El servidor SMTP requiere autenticación"
"SMTP Server Username","Nom d'utilisateur du serveur SMTP","SMTP-Server-Benutzername","Nome de usuário do servidor SMTP","Nombre de usuario del servidor SMTP"
"SMTP settings have been deleted successfully.","Les paramètres SMTP ont été supprimés avec succès.","SMTP-Einstellungen wurden erfolgreich gelöscht.","As configurações SMTP foram excluídas com sucesso.","La configuración SMTP se ha eliminado exitosamente."
"SMTP settings saved successfully!","Paramètres SMTP enregistrés avec succès!","SMTP-Einstellungen erfolgreich gespeichert!","Configurações SMTP salvas com sucesso!","¡Configuración SMTP guardada exitosamente!"
"SMTP Username","Nom d'utilisateur SMTP","SMTP-Benutzername","Nome de usuário SMTP","Nombre de usuario SMTP"
"Some values inherited from server defaults","Certaines valeurs héritées des paramètres par défaut du serveur","Einige Werte von Server-Standardeinstellungen geerbt","Alguns valores herdados dos padrões do servidor","Algunos valores heredados de los valores predeterminados del servidor"
"Spanish","Espagnol","Spanisch","Espanhol","Español"
"SQL Dump (.sql)","Dump SQL (.sql)","SQL-Dump (.sql)","Dump SQL (.sql)","Volcado SQL (.sql)"
"SSH private key for authentication","Clé privée SSH pour l'authentification","SSH-Privatschlüssel für Authentifizierung","Chave privada SSH para autenticação","Clave privada SSH para autenticación"
"Start","Démarrer","Starten","Iniciar","Iniciar"
"Start Date","Date de début","Startdatum","Data de início","Fecha de inicio"
"Start of Week","Début de la semaine","Wochenbeginn","Início da semana","Inicio de la semana"
"Start Time","Heure de début","Startzeit","Hora de início","Hora de inicio"
"Started successfully","Démarré avec succès","Erfolgreich gestartet","Iniciado com sucesso","Iniciado exitosamente"
"Starting Collection","Démarrage de la collecte","Sammlung starten","Iniciando coleta","Iniciando recopilación"
"STARTTLS","STARTTLS","STARTTLS","STARTTLS","STARTTLS"
"Statistics","Statistiques","Statistiken","Estatísticas","Estadísticas"
"Status","Statut","Status","Status","Estado"
"Status (error > warning > success)","Statut (erreur > avertissement > succès)","Status (Fehler > Warnung > Erfolg)","Status (erro > aviso > sucesso)","Estado (error > advertencia > éxito)"
"Status (error>warnings>success)","Statut (erreur>avertissements>succès)","Status (Fehler>Warnungen>Erfolg)","Status (erro>avisos>sucesso)","Estado (error>advertencias>éxito)"
"Stop","Arrêter","Stoppen","Parar","Detener"
"Stopped successfully","Arrêté avec succès","Erfolgreich gestoppt","Parado com sucesso","Detenido exitosamente"
"Storage","Stockage","Speicherplatz","Armazenamento","Almacenamiento"
"Storage Size","Taille de stockage","Speichergröße","Tamanho de armazenamento","Tamaño de almacenamiento"
"Storage size used","Taille de stockage utilisée","Verwendete Speichergröße","Tamanho de armazenamento usado","Tamaño de almacenamiento usado"
"stored hostname, change if needed","nom d'hôte stocké, modifier si nécessaire","gespeicherter Hostname, bei Bedarf ändern","nome do host armazenado, alterar se necessário","nombre de host almacenado, cambiar si es necesario"
"Submit","Soumettre","Absenden","Enviar","Enviar"
"Success","Succès","Erfolg","Sucesso","Éxito"
"Success Notification Template","Modèle de notification de succès","Erfolgs-Benachrichtigungsvorlage","Modelo de notificação de sucesso","Plantilla de notificación de éxito"
"Success Rate","Taux de réussite","Erfolgsquote","Taxa de sucesso","Tasa de éxito"
"Successful","Réussi","Erfolgreich","Bem-sucedido","Exitoso"
"Successful Backups","Sauvegardes réussies","Erfolgreiche Sicherungen","Backups bem-sucedidos","Backups exitosos"
"Sunday","Dimanche","Sonntag","Domingo","Domingo"
"Switch to Analytics","Passer à l'analyse","Zur Analyse wechseln","Alternar para análise","Cambiar a análisis"
"Switch to chart view","Passer à la vue graphique","Zur Diagrammansicht wechseln","Mudar para visualização de gráfico","Cambiar a vista de gráfico"
"Switch to Dark Mode","Passer en mode sombre","Zum dunklen Modus wechseln","Mudar para modo escuro","Cambiar a modo oscuro"
"Switch to Light Mode","Passer en mode clair","Zum hellen Modus wechseln","Mudar para modo claro","Cambiar a modo claro"
"Switch to status view","Passer à la vue statut","Zur Statusansicht wechseln","Mudar para visualização de status","Cambiar a vista de estado"
"Switch to Table","Passer au tableau","Zur Tabelle wechseln","Alternar para tabela","Cambiar a tabla"
"Sync all backups to inherit from server defaults","Synchroniser toutes les sauvegardes avec les paramètres par défaut du serveur","Alle Sicherungen mit Server-Standardeinstellungen synchronisieren","Sincronizar todos os backups com os padrões do servidor","Sincronizar todos los backups con los valores predeterminados del servidor"
"Sync to All","Synchroniser avec tout","Mit allen synchronisieren","Sincronizar com todos","Sincronizar con todo"
"Synced to Server Defaults","Synchronisé avec les paramètres par défaut du serveur","Mit Server-Standardeinstellungen synchronisiert","Sincronizado com padrões do servidor","Sincronizado con valores predeterminados del servidor"
"System","Système","System","Sistema","Sistema"
"System Alert","Alerte système","Systemwarnung","Alerta do Sistema","Alerta del sistema"
"Table Page Size","Taille de page du tableau","Tabellenseitengröße","Tamanho da página da tabela","Tamaño de página de tabla"
"table view","vue tableau","Tabellenansicht","visualização de tabela","vista de tabla"
"Tags (comma separated)","Tags (séparés par des virgules)","Tags (kommagetrennt)","Tags (separadas por vírgula)","Etiquetas (separadas por comas)"
"Tags for NTFY notifications","Étiquettes pour les notifications NTFY","Tags für NTFY-Benachrichtigungen","Tags para notificações NTFY","Etiquetas para notificaciones NTFY"
"Target","Cible","Ziel","Destino","Objetivo"
"Target ID","ID de cible","Ziel-ID","ID do destino","ID de objetivo"
"Target Server (newest)","Serveur cible (le plus récent)","Zielserver (neueste)","Servidor de destino (mais recente)","Servidor objetivo (más reciente)"
"Target Type","Type de cible","Zieltyp","Tipo de destino","Tipo de objetivo"
"Template Language","Langue des modèles","Vorlagensprache","Idioma dos Modelos","Idioma de las plantillas"
"Template settings saved successfully","Paramètres du modèle enregistrés avec succès","Vorlageneinstellungen erfolgreich gespeichert","Configurações do modelo salvas com sucesso","Configuración de plantilla guardada exitosamente"
"Template used when backups complete successfully","Modèle utilisé lorsque les sauvegardes se terminent avec succès","Vorlage, die verwendet wird, wenn Sicherungen erfolgreich abgeschlossen werden","Modelo usado quando os backups são concluídos com sucesso","Plantilla utilizada cuando las copias de seguridad se completan exitosamente"
"Templates","Modèles","Vorlagen","Modelos","Plantillas"
"Temporary Password","Mot de passe temporaire","Temporäres Passwort","Senha temporária","Contraseña temporal"
"Terms and Conditions","Conditions générales d'utilisation","Allgemeine Geschäftsbedingungen","Termos e Condições","Términos y Condiciones"
"Test","Tester","Testen","Testar","Probar"
"Test All","Tout tester","Alle testen","Testar todos","Probar todo"
"Test Connection","Tester la connexion","Verbindung testen","Testar conexão","Probar conexión"
"Test Email Failed","Échec de l'e-mail de test","Test-E-Mail fehlgeschlagen","Falha no e-mail de teste","Correo de prueba fallido"
"Test Email Sent","E-mail de test envoyé","Test-E-Mail gesendet","E-mail de teste enviado","Correo de prueba enviado"
"Test Failed","Test échoué","Test fehlgeschlagen","Falha no teste","Prueba fallida"
"Test Notification","Tester la notification","Benachrichtigung testen","Testar notificação","Probar notificación"
"Test Notification Failed","Échec de la notification de test","Testbenachrichtigung fehlgeschlagen","Falha na notificação de teste","Notificación de prueba fallida"
"Test Notification Sent","Notification de test envoyée","Testbenachrichtigung gesendet","Notificação de teste enviada","Notificación de prueba enviada"
"Test notification sent successfully","Notification de test envoyée avec succès","Testbenachrichtigung erfolgreich gesendet","Notificação de teste enviada com sucesso","Notificación de prueba enviada exitosamente"
"Test Sent","Test envoyé","Test gesendet","Teste enviado","Prueba enviada"
"Test Successful","Test réussi","Test erfolgreich","Teste bem-sucedido","Prueba exitosa"
"The default language for new users","La langue par défaut pour les nouveaux utilisateurs","Die Standardsprache für neue Benutzer","O idioma padrão para novos usuários","El idioma predeterminado para nuevos usuarios"
"The email address to send from","L'adresse e-mail à partir de laquelle envoyer","Die E-Mail-Adresse, von der gesendet wird","O endereço de e-mail a partir do qual enviar","La dirección de correo electrónico desde la cual enviar"
"The hostname or IP address","Le nom d'hôte ou l'adresse IP","Der Hostname oder die IP-Adresse","O nome do host ou endereço IP","El nombre de host o dirección IP"
"The name displayed in the application header","Le nom affiché dans l'en-tête de l'application","Der in der Anwendungskopfzeile angezeigte Name","O nome exibido no cabeçalho do aplicativo","El nombre que se muestra en el encabezado de la aplicación"
"The NTFY server URL","L'URL du serveur NTFY","Die NTFY-Server-URL","A URL do servidor NTFY","La URL del servidor NTFY"
"The NTFY topic to publish to","Le sujet NTFY auquel publier","Das NTFY-Thema, zu dem veröffentlicht wird","O tópico NTFY para publicar","El tema NTFY al cual publicar"
"The password for authentication","Le mot de passe pour l'authentification","Das Passwort für die Authentifizierung","A senha para autenticação","La contraseña para autenticación"
"The path to backup on the server","Le chemin de sauvegarde sur le serveur","Der Pfad zur Sicherung auf dem Server","O caminho para backup no servidor","La ruta de backup en el servidor"
"The port number for connection","Le numéro de port pour la connexion","Die Portnummer für die Verbindung","O número da porta para conexão","El número de puerto para la conexión"
"The priority level for NTFY notifications","Le niveau de priorité pour les notifications NTFY","Die Prioritätsstufe für NTFY-Benachrichtigungen","O nível de prioridade para notificações NTFY","El nivel de prioridad para notificaciones NTFY"
"The SMTP authentication password","Le mot de passe d'authentification SMTP","Das SMTP-Authentifizierungspasswort","A senha de autenticação SMTP","La contraseña de autenticación SMTP"
"The SMTP authentication username","Le nom d'utilisateur d'authentification SMTP","Der SMTP-Authentifizierungsbenutzername","O nome de usuário de autenticação SMTP","El nombre de usuario de autenticación SMTP"
"The SMTP server hostname","Le nom d'hôte du serveur SMTP","Der SMTP-Server-Hostname","O nome do host do servidor SMTP","El nombre de host del servidor SMTP"
"The SMTP server port","Le port du serveur SMTP","Der SMTP-Server-Port","A porta do servidor SMTP","El puerto del servidor SMTP"
"The URL of your NTFY server. Defaults to","L'URL de votre serveur NTFY. Par défaut","Die URL Ihres NTFY-Servers. Standardmäßig","A URL do seu servidor NTFY. Padrão","La URL de su servidor NTFY. Por defecto"
"The username for authentication","Le nom d'utilisateur pour l'authentification","Der Benutzername für die Authentifizierung","O nome de usuário para autenticação","El nombre de usuario para autenticación"
"Theme","Thème","Thema","Tema","Tema"
"This field is required","Ce champ est obligatoire","Dieses Feld ist erforderlich","Este campo é obrigatório","Este campo es obligatorio"
"This Month","Ce mois-ci","Dieser Monat","Este mês","Este mes"
"This Week","Cette semaine","Diese Woche","Esta semana","Esta semana"
"This Year","Cette année","Dieses Jahr","Este ano","Este año"
"Time ago since the last backup","Temps écoulé depuis la dernière sauvegarde","Zeit seit der letzten Sicherung","Tempo decorrido desde o último backup","Tiempo transcurrido desde el último backup"
"Time elapsed since the expected backup date","Temps écoulé depuis la date de sauvegarde attendue","Zeit seit dem erwarteten Sicherungsdatum","Tempo decorrido desde a data de backup esperada","Tiempo transcurrido desde la fecha de backup esperada"
"Time Format","Format d'heure","Uhrzeitformat","Formato de hora","Formato de hora"
"Timeout","Délai dépassé","Zeitüberschreitung","Tempo limite excedido","Tiempo de espera agotado"
"Timestamp","Horodatage","Zeitstempel","Data e hora","Marca de tiempo"
"Timezone","Fuseau horaire","Zeitzone","Fuso horário","Zona horaria"
"Title","Titre","Titel","Título","Título"
"To Addresses","Adresses de destinataires","Empfängeradressen","Endereços de destinatários","Direcciones de destinatarios"
"to subscribe to your topic in your phone.","pour vous abonner à votre sujet sur votre téléphone.","um sich für Ihr Thema auf Ihrem Telefon anzumelden.","para se inscrever no seu tópico no seu telefone.","para suscribirse a su tema en su teléfono."
"Today","Aujourd'hui","Heute","Hoje","Hoy"
"Toggle Theme","Changer de thème","Thema wechseln","Alternar tema","Cambiar tema"
"Tolerance","Tolérance","Toleranz","Tolerância","Tolerancia"
"Tomorrow","Demain","Morgen","Amanhã","Mañana"
"Total","Total","Gesamt","Total","Total"
"Total Backup Jobs","Total des tâches de sauvegarde","Backup-Jobs gesamt","Total de trabalhos de backup","Total de trabajos de backup"
"Total Backup Runs","Total des exécutions de sauvegarde","Gesamte Backup-Läufe","Total de execuções de backup","Total de ejecuciones de backup"
"Total Backup Size","Taille totale des sauvegardes","Gesamte Sicherungsgröße","Tamanho total de backups","Tamaño total de backups"
"Total Backups","Total des sauvegardes","Gesamtsicherungen","Total de backups","Backups totales"
"Total file size","Taille totale des fichiers","Gesamte Dateigröße","Tamanho total dos arquivos","Tamaño total de archivos"
"Total Servers","Total des serveurs","Gesamtserver","Total de servidores","Servidores totales"
"Total Storage Used","Stockage total utilisé","Gesamter Speicherplatz verwendet","Armazenamento total usado","Almacenamiento total usado"
"Total Uploaded","Total téléversé","Gesamt hochgeladen","Total enviado","Total Enviado"
"Total Uploaded Size","Taille totale téléversée","Gesamte hochgeladene Größe","Tamanho total enviado","Total enviado"
"Two-Factor Authentication","Authentification à deux facteurs","Zwei-Faktor-Authentifizierung","Autenticação de Dois Fatores","Autenticación de dos factores"
"Two-factor authentication disabled","Authentification à deux facteurs désactivée","Zwei-Faktor-Authentifizierung deaktiviert","Autenticação de dois fatores desabilitada","Autenticación de dos factores deshabilitada"
"Two-factor authentication enabled","Authentification à deux facteurs activée","Zwei-Faktor-Authentifizierung aktiviert","Autenticação de dois fatores habilitada","Autenticación de dos factores habilitada"
"Unauthorized","Non autorisé","Nicht autorisiert","Não autorizado","No autorizado"
"Unauthorized access - Please login to continue","Accès non autorisé - Veuillez vous connecter","Nicht autorisierter Zugriff - Bitte melden Sie sich an","Acesso não autorizado - Por favor, faça login","Acceso no autorizado - Por favor inicie sesión"
"Unit","Unité","Einheit","Unidade","Unidad"
"Unknown","Inconnu","Unbekannt","Desconhecido","Desconocido"
"Unknown Backup","Sauvegarde inconnue","Unbekannte Sicherung","Backup desconhecido","Backup desconocido"
"Unknown Server","Serveur inconnu","Unbekannter Server","Servidor desconhecido","Servidor desconocido"
"Update In Progress","Mise à jour en cours","Aktualisierung läuft","Atualização em andamento","Actualización en curso"
"Updated  backup(s)","sauvegarde(s) mise(s) à jour","Sicherung(en) aktualisiert","backup(s) atualizado(s)","backup(s) actualizado(s)"
"Updated successfully","Mis à jour avec succès","Erfolgreich aktualisiert","Atualizado com sucesso","Actualizado exitosamente"
"Updating server credentials and collecting backups","Mise à jour des identifiants du serveur et collecte des sauvegardes","Server-Anmeldedaten aktualisieren und Backups sammeln","Atualizando credenciais do servidor e coletando backups","Actualizando credenciales del servidor y recopilando backups"
"updating stored value","mise à jour de la valeur stockée","gespeicherten Wert aktualisieren","atualizando valor armazenado","actualizando valor almacenado"
"Upload","Téléverser","Hochladen","Subir","Subir"
"Uploaded","Téléversé","Hochgeladen","Enviado","Enviado"
"Uploaded Size","Taille téléversée","Hochgeladene Größe","Tamanho enviado","Tamaño enviado"
"Uploaded successfully","Téléversé avec succès","Erfolgreich hochgeladen","Enviado com sucesso","Enviado exitosamente"
"URL of the Duplicati server","URL du serveur Duplicati","Duplicati-Server-URL","URL do servidor Duplicati","URL del servidor Duplicati"
"Use Backup Code","Utiliser le code de sauvegarde","Backup-Code verwenden","Usar código de backup","Usar código de backup"
"User","Utilisateur","Benutzer","Usuário","Usuario"
"User Agent","Agent utilisateur","User-Agent","Agente do usuário","Agente de usuario"
"User created successfully","Utilisateur créé avec succès","Benutzer erfolgreich erstellt","Usuário criado com sucesso","Usuario creado exitosamente"
"User deleted successfully","Utilisateur supprimé avec succès","Benutzer erfolgreich gelöscht","Usuário excluído com sucesso","Usuario eliminado exitosamente"
"User logged in","Utilisateur connecté","Benutzer angemeldet","Usuário fez login","Usuario inició sesión"
"User logged out","Utilisateur déconnecté","Benutzer abgemeldet","Usuário saiu","Usuario cerró sesión"
"User Management","Gestion des utilisateurs","Benutzerverwaltung","Gerenciamento de usuários","Gestión de usuarios"
"User updated successfully","Utilisateur mis à jour avec succès","Benutzer erfolgreich aktualisiert","Usuário atualizado com sucesso","Usuario actualizado exitosamente"
"Username","Nom d'utilisateur","Benutzername","Nome de usuário","Nombre de usuario"
"Username is already taken","Le nom d'utilisateur est déjà pris","Benutzername ist bereits vergeben","Nome de usuário já está em uso","El nombre de usuario ya está tomado"
"Username is required","Le nom d'utilisateur est requis","Benutzername ist erforderlich","Nome de usuário é obrigatório","El nombre de usuario es obligatorio"
"Users","Utilisateurs","Benutzer","Usuários","Usuarios"
"Using server default destinations","Utilise les destinations par défaut du serveur","Verwendet Server-Standardziele","Usando destinos padrão do servidor","Usando destinos predeterminados del servidor"
"Using stored credentials for selected server","Utilisation des identifiants stockés pour le serveur sélectionné","Verwende gespeicherte Anmeldedaten für den ausgewählten Server","Usando credenciais armazenadas para o servidor selecionado","Usando credenciales almacenadas para el servidor seleccionado"
"Vacuum Database","Nettoyer la base de données","Datenbank bereinigen","Otimizar espaço","Optimizar espacio"
"Validation Error","Erreur de validation","Validierungsfehler","Erro de validação","Error de validación"
"Validation failed - Please check your input","Validation échouée - Veuillez vérifier votre saisie","Validierung fehlgeschlagen - Bitte überprüfen Sie Ihre Eingabe","Validação falhou - Por favor, verifique sua entrada","Validación fallida - Por favor verifique su entrada"
"Verification Code","Code de vérification","Bestätigungscode","Código de verificação","Código de verificación"
"Verification failed","Échec de la vérification","Bestätigung fehlgeschlagen","Verificação falhou","Verificación fallida"
"Verification successful","Vérification réussie","Bestätigung erfolgreich","Verificação bem-sucedida","Verificación exitosa"
"Verify","Vérifier","Bestätigen","Verificar","Verificar"
"Version","Version","Version","Versão","Versión"
"Version info not received","Informations de version non reçues","Versionsinformationen nicht erhalten","Informações de versão não recebidas","Información de versión no recibida"
"Versions","Versions","Versionen","Versões","Versiones"
"View","Afficher","Anzeigen","Visualizar","Ver"
"View All","Voir tout","Alle anzeigen","Ver todos","Ver todo"
"View application audit log entries","Afficher les entrées du journal d'audit de l'application","Anwendungs-Audit-Log-Einträge anzeigen","Ver entradas do log de auditoria do aplicativo","Ver entradas del log de auditoría de la aplicación"
"View details","Voir les détails","Details anzeigen","Ver detalhes","Ver detalles"
"View NTFY messages (right-click for QR code)","Voir les messages NTFY (clic droit pour le code QR)","NTFY-Nachrichten anzeigen (Rechtsklick für QR-Code)","Ver mensagens NTFY (clique direito para código QR)","Ver mensajes NTFY (clic derecho para código QR)"
"View source code on GitHub","Voir le code source sur GitHub","Quellcode auf GitHub anzeigen","Ver código-fonte no GitHub","Ver código fuente en GitHub"
"Waiting","En attente","Warten","Aguardando","Esperando"
"Warning","Avertissement","Warnung","Aviso","Advertencia"
"Warning Threshold","Seuil d'avertissement","Warnschwelle","Limite de Aviso","Umbral de advertencia"
"Warning: This is an admin user.","Avertissement: Ceci est un utilisateur administrateur.","Warnung: Dies ist ein Administratorbenutzer.","Aviso: Este é um usuário administrador.","Advertencia: Este es un usuario administrador."
"Warning/Error","Avertissement/Erreur","Warnung/Fehler","Aviso/Erro","Advertencia/Error"
"Warning/Error Notification Template","Modèle de notification d'avertissement/erreur","Warnung/Fehler-Benachrichtigungsvorlage","Modelo de notificação de aviso/erro","Plantilla de notificación de advertencia/error"
"Warnings","Avertissements","Warnungen","Avisos","Advertencias"
"Warnings & Errors","Avertissements & Erreurs","Warnungen & Fehler","Avisos e Erros","Advertencias y Errores"
"Web Interface Address (URL)","Adresse de l'interface Web (URL)","Web-Interface-Adresse (URL)","Endereço da interface web (URL)","Dirección de interfaz web (URL)"
"Week(s)","Semaine(s)","Woche(n)","Semana(s)","Semana(s)"
"When","Quand","Wann","Quando","Cuándo"
"Year(s)","Année(s)","Jahr(e)","Ano(s)","Año(s)"
"Yes","Oui","Ja","Sim","Sí"
"Yesterday","Hier","Gestern","Ontem","Ayer"
"You will need to log in again.","Vous devrez vous reconnecter.","Sie müssen sich erneut anmelden.","Você precisará fazer login novamente.","Necesitará iniciar sesión nuevamente."
"You will need to reconfigure the following","Vous devrez reconfigurer les éléments suivants","Sie müssen Folgendes neu konfigurieren","Você precisará reconfigurar o seguinte","Deberá reconfigurar lo siguiente"
"your-email@your-domain.com","votre-email@votre-domaine.com","ihre-email@ihre-domain.com","seu-email@seu-dominio.com","su-email@su-dominio.com"
